vehicle_id,trip_id,route_id,start_time,start_date,latitude,longitude,speed_mps,gps_timestamp,snapshot_time
DL51GD8956,1483_02_55,1483,04:03:26,20260323,28.62558937072754,77.06529998779297,0.0,1774219118,2026-03-22T22:38:49.785164
DL51EV1069,1496_23_50,1496,23:35:33,20260322,28.55690574645996,77.08517456054688,0.0,1774219117,2026-03-22T22:38:49.785164
DL51GD3318,1481_01_55,1481,03:33:05,20260323,28.64173126220703,77.2236328125,0.0,1774219116,2026-03-22T22:38:49.785164
DL51EV8675,2250_3_56,2250,03:56:14,20260323,28.70695686340332,77.17317962646484,0.0,1774219116,2026-03-22T22:38:49.785164
DL1PD6680,1615_4_8,1615,04:08:34,20260323,28.668373107910156,77.1369857788086,0.0,1774219116,2026-03-22T22:38:49.785164
DL51EV0935,2395_4_5,2395,04:05:29,20260323,28.70231819152832,77.19496154785156,0.0,1774219115,2026-03-22T22:38:49.785164
DL51EV1725,2694_22_00,2694,22:11:52,20260322,28.66828155517578,77.22911834716797,0.0,1774219115,2026-03-22T22:38:49.785164
DL51GD9010,2918_4_1,2918,04:01:22,20260323,28.55282211303711,77.1021957397461,0.0,1774219115,2026-03-22T22:38:49.785164
DL51EV2595,1693_3_50,1693,03:50:03,20260323,28.690540313720703,77.2786636352539,0.0,1774219115,2026-03-22T22:38:49.785164
DL51EV0957,1495_02_20,1495,03:43:22,20260323,28.564878463745117,77.12002563476562,0.0,1774219115,2026-03-22T22:38:49.785164
DL51EV1716,1693_4_1,1693,04:01:22,20260323,28.671497344970703,77.23552703857422,0.0,1774219115,2026-03-22T22:38:49.785164
DL51GD9668,1484_03_15,1484,03:33:05,20260323,28.610923767089844,77.11297607421875,0.0,1774219115,2026-03-22T22:38:49.785164
DL1PD6726,1485_02_30,1485,04:06:31,20260323,28.624332427978516,77.11912536621094,0.0,1774219114,2026-03-22T22:38:49.785164
DL51GD8784,2206_3_33,2206,03:33:05,20260323,28.623355865478516,77.19792938232422,0.0,1774219114,2026-03-22T22:38:49.785164
DL51EV9715,1913_22_01,1913,23:03:45,20260322,28.646907806396484,77.24026489257812,0.0,1774219114,2026-03-22T22:38:49.785164
DL51GD9045,2918_3_55,2918,03:55:12,20260323,28.554170608520508,77.093994140625,0.0,1774219114,2026-03-22T22:38:49.785164
DL51EV3103,1497_04_25,1497,04:07:33,20260323,28.645584106445312,77.31522369384766,0.0,1774219113,2026-03-22T22:38:49.785164
DL51EV3533,1577_3_55,1577,03:55:12,20260323,28.847501754760742,77.12674713134766,0.0,1774219113,2026-03-22T22:38:49.785164
DL51GD9624,1494_3_34,1494,03:34:07,20260323,28.645076751708984,77.19771575927734,0.0,1774219113,2026-03-22T22:38:49.785164
DL1PD6948,2530_4_6,2530,04:06:31,20260323,28.647357940673828,77.31768798828125,0.0,1774219113,2026-03-22T22:38:49.785164
